,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594548,GSM1594548,43799,0.0,197424.27,11,0.42003548
GSM1594549,GSM1594549,43799,0.0,196695.7,8,0.5052193
GSM1594550,GSM1594550,43799,0.0,195835.69,8,0.24773377
GSM1594551,GSM1594551,43799,0.0,199868.11,11,0.5022059
GSM1594552,GSM1594552,43799,0.0,195914.31,8,0.3710422
GSM1594553,GSM1594553,43799,0.0,200020.03,11,0.35202727
GSM1594554,GSM1594554,43799,0.0,202910.83,5,0.44605002
GSM1594555,GSM1594555,43799,0.0,200289.58,5,0.46274927
GSM1594556,GSM1594556,43799,0.0,198428.73,8,0.2508731
GSM1594557,GSM1594557,43799,0.0,198086.66,11,0.44965062
GSM1594558,GSM1594558,43799,0.0,200499.23,7,0.45008993
GSM1594559,GSM1594559,43799,0.0,201253.86,7,0.4584946
GSM1594560,GSM1594560,43799,0.0,199845.45,11,0.52664846
GSM1594561,GSM1594561,43799,0.0,201163.89,5,0.5246409
GSM1594562,GSM1594562,43799,0.0,194979.19,8,0.36427823
GSM1594563,GSM1594563,43799,0.0,200015.12,5,0.5203704
GSM1594564,GSM1594564,43799,0.0,198020.89,11,0.40988216
GSM1594565,GSM1594565,43799,0.0,193763.03,8,0.26149213
GSM1594566,GSM1594566,43799,0.0,198053.9,5,0.52083653
GSM1594567,GSM1594567,43799,0.0,198501.02,11,0.47864115
GSM1594568,GSM1594568,43799,0.0,200556.12,5,0.44168502
GSM1594569,GSM1594569,43799,0.0,196288.97,8,0.18645056
GSM1594570,GSM1594570,43799,0.0,202418.23,2,0.33932942
GSM1594571,GSM1594571,43799,0.0,200973.3,5,0.25185952
GSM1594572,GSM1594572,43799,0.0,196140.3,8,0.35769457
GSM1594573,GSM1594573,43799,0.0,201360.88,9,0.5432828
GSM1594574,GSM1594574,43799,0.0,201839.75,4,0.51158226
GSM1594575,GSM1594575,43799,0.0,202253.16,7,0.45061505
GSM1594576,GSM1594576,43799,0.0,202506.83,9,0.53740305
GSM1594577,GSM1594577,43799,0.0,201312.05,9,0.5402663
GSM1594578,GSM1594578,43799,0.0,198945.55,3,0.26350766
GSM1594579,GSM1594579,43799,0.0,202975.95,9,0.5631227
GSM1594580,GSM1594580,43799,0.0,201037.95,7,0.4908245
GSM1594581,GSM1594581,43799,0.0,199797.0,1,0.4571301
GSM1594582,GSM1594582,43799,0.0,201579.38,10,0.5244623
GSM1594583,GSM1594583,43799,0.0,203331.36,10,0.38250118
GSM1594584,GSM1594584,43799,0.0,201821.78,9,0.55705196
GSM1594585,GSM1594585,43799,0.0,202439.0,4,0.51083535
GSM1594586,GSM1594586,43799,0.0,200949.33,7,0.42214483
GSM1594587,GSM1594587,43799,0.0,202822.78,10,0.49723673
GSM1594588,GSM1594588,43799,0.0,201537.67,9,0.5379467
GSM1594589,GSM1594589,43799,0.0,202553.98,9,0.53514177
GSM1594590,GSM1594590,43799,0.0,201662.6,7,0.49580082
GSM1594591,GSM1594591,43799,0.0,201436.58,7,0.35911772
